9.80e+03,-4.65e+03,0
9.82e+03,-4.66e+03,0
9.83e+03,-4.66e+03,0
9.84e+03,-4.66e+03,0
9.85e+03,-4.66e+03,0
9.87e+03,-4.67e+03,0
9.88e+03,-4.67e+03,0
9.89e+03,-4.67e+03,0
9.90e+03,-4.67e+03,0
9.92e+03,-4.68e+03,0
9.93e+03,-4.68e+03,0
9.94e+03,-4.68e+03,0
9.95e+03,-4.68e+03,0
9.97e+03,-4.69e+03,0
9.98e+03,-4.69e+03,0
9.99e+03,-4.69e+03,0
1.00e+04,-4.69e+03,0
1.00e+04,-4.70e+03,0
1.00e+04,-4.70e+03,0
1.00e+04,-4.70e+03,0
1.01e+04,-4.70e+03,0
1.01e+04,-4.70e+03,0
1.01e+04,-4.71e+03,0
1.01e+04,-4.71e+03,0
1.01e+04,-4.71e+03,0
